ORDERID,SOURCE,ORDERSTATUS,RIDERPROVIDER,STOREID,CUSTOMERPINCODE,ORDERPLACEDDATE,VERIFIEDDATE,STOREPUSHEDDATE,BILLEDDATE,RIDERASSIGNEDDATE,OFDDATE,ARRIVEDDATE,DELIVEREDDATE,PROMISEDTAT,CANCELLEDDATE,MRP,PAYMENTMETHOD
8365,Mobile - Android,Out for Delivery,K,234572,500089,2022-Apr-04 19:36:00,2022-Apr-04 19:45:00,2022-Apr-04 19:48:00,2022-Apr-04 19:49:00,2022-Apr-04 19:51:00,2022-Apr-04 20:05:00,,,2022-Apr-04 22:00:00,,1080.84,PREPAID
8366,Mobile - Android,Cancelled,D,226416,700046,2022-Apr-04 19:37:00,2022-Apr-04 19:38:00,2022-Apr-04 19:40:00,2022-Apr-04 19:42:00,2022-Apr-04 19:44:00,,,,2022-Apr-04 22:00:00,2022-Apr-04 20:19:00,620,PREPAID
8367,Mobile - Android,Delivered,D,226228,700084,2022-Apr-04 19:37:00,2022-Apr-05 09:42:00,2022-Apr-05 09:44:00,2022-Apr-05 09:47:00,2022-Apr-05 09:48:00,2022-Apr-05 10:01:00,2022-Apr-05 10:07:00,2022-Apr-05 10:09:00,2022-Apr-05 12:00:00,,710.08,PREPAID
8368,Mobile - Android,Delivered,D,228028,500035,2022-Apr-04 19:37:00,2022-Apr-04 19:55:00,2022-Apr-04 19:57:00,2022-Apr-04 20:27:00,2022-Apr-04 20:28:00,2022-Apr-04 20:48:00,2022-Apr-04 21:07:00,2022-Apr-04 21:08:00,2022-Apr-04 22:00:00,,718.16,PREPAID
8369,Mobile - Android,Verified,,226206,700046,2022-Apr-04 19:37:00,2022-Apr-04 19:38:00,,,,,,,2022-Apr-04 22:00:00,,1026.84,COD
8370,Mobile - Android,Delivered,K,229148,600008,2022-Apr-04 19:37:00,2022-Apr-04 19:46:00,2022-Apr-04 19:48:00,2022-Apr-04 19:49:00,2022-Apr-04 20:32:00,2022-Apr-04 20:49:00,2022-Apr-04 21:03:00,2022-Apr-04 21:05:00,2022-Apr-04 22:00:00,,305.24,PREPAID
8371,Mobile - iOS,Out for Delivery,D,222074,122002,2022-Apr-04 19:38:00,2022-Apr-04 19:39:00,2022-Apr-04 19:40:00,2022-Apr-04 19:53:00,2022-Apr-04 19:55:00,2022-Apr-04 20:18:00,,,2022-Apr-04 22:00:00,,625,PREPAID
8372,Mobile - Android,Delivered,K,226396,700157,2022-Apr-04 19:38:00,2022-Apr-04 19:39:00,2022-Apr-04 19:41:00,2022-Apr-04 19:44:00,2022-Apr-04 19:46:00,2022-Apr-04 20:02:00,2022-Apr-04 20:02:00,2022-Apr-04 20:02:00,2022-Apr-04 22:00:00,,1173.14,PREPAID
8373,Mobile - mWeb,Delivered,D,222116,110044,2022-Apr-04 19:38:00,2022-Apr-04 20:23:00,2022-Apr-04 20:25:00,2022-Apr-04 20:30:00,2022-Apr-04 20:31:00,2022-Apr-04 20:41:00,2022-Apr-04 21:05:00,2022-Apr-04 21:08:00,2022-Apr-04 22:30:00,,335.01,PREPAID
8374,Mobile - Android,Delivered,D,230264,500072,2022-Apr-04 19:38:00,2022-Apr-04 19:55:00,2022-Apr-04 19:58:00,2022-Apr-04 19:59:00,2022-Apr-04 20:01:00,2022-Apr-04 20:22:00,2022-Apr-04 20:35:00,2022-Apr-04 20:36:00,2022-Apr-04 22:00:00,,436.3,PREPAID
8375,Mobile - Android,Delivered,D,222508,201303,2022-Apr-04 19:38:00,2022-Apr-04 19:52:00,2022-Apr-04 19:53:00,2022-Apr-04 19:55:00,2022-Apr-04 19:57:00,2022-Apr-04 20:06:00,2022-Apr-04 20:19:00,2022-Apr-04 20:22:00,2022-Apr-04 22:00:00,,423.8,PREPAID
8376,Mobile - Android,Delivered,K,222374,110019,2022-Apr-04 19:39:00,2022-Apr-04 19:40:00,2022-Apr-04 19:41:00,2022-Apr-04 19:42:00,2022-Apr-04 19:44:00,2022-Apr-04 19:59:00,2022-Apr-04 20:13:00,2022-Apr-04 20:17:00,2022-Apr-04 22:00:00,,1113.69,COD
8377,Mobile - Android,Verified,,226168,700107,2022-Apr-04 19:39:00,2022-Apr-04 19:41:00,,,,,,,2022-Apr-04 22:00:00,,1128.4,PREPAID
8378,Mobile - Android,Cancelled,,226240,700040,2022-Apr-04 19:39:00,2022-Apr-04 19:40:00,2022-Apr-04 19:43:00,,,,,,2022-Apr-04 22:00:00,2022-Apr-04 22:06:00,645.34,COD
8379,Mobile - Android,Delivered,K,222010,110064,2022-Apr-04 19:40:00,2022-Apr-04 19:42:00,2022-Apr-04 19:43:00,2022-Apr-04 19:46:00,2022-Apr-04 21:47:00,2022-Apr-04 21:47:00,2022-Apr-04 21:48:00,2022-Apr-04 21:52:00,2022-Apr-04 22:00:00,,553.94,PREPAID
8380,Mobile - Android,Delivered,D,222552,110034,2022-Apr-04 19:40:00,2022-Apr-04 19:53:00,2022-Apr-04 19:55:00,2022-Apr-04 19:56:00,2022-Apr-04 19:58:00,2022-Apr-04 20:11:00,2022-Apr-04 20:28:00,2022-Apr-04 20:28:00,2022-Apr-04 22:00:00,,413.7,COD
8381,Mobile - mWeb,Delivered,K,230956,500041,2022-Apr-04 19:40:00,2022-Apr-04 19:41:00,2022-Apr-04 19:44:00,2022-Apr-04 20:20:00,2022-Apr-04 20:22:00,2022-Apr-04 20:39:00,2022-Apr-04 21:08:00,2022-Apr-04 21:10:00,2022-Apr-04 22:00:00,,705,COD
8382,Mobile - iOS,Delivered,K,230544,560043,2022-Apr-04 19:41:00,2022-Apr-04 19:41:00,2022-Apr-04 19:48:00,2022-Apr-04 19:52:00,2022-Apr-04 20:37:00,2022-Apr-05 11:37:00,2022-Apr-05 11:37:00,2022-Apr-05 11:37:00,2022-Apr-04 22:00:00,,1025.96,COD
